rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate
100.0,479,27,115,55296,0.07986999999999998,0.2,-0.10905098915100098,260,0.020373443,-0.046934614147176035,0.0013937871175585315,-1.6806148238480092,0.24248046875,-0.07480119168758392,0.0003
100.0,477,28,119,57344,0.08231,0.2,0.17582732439041138,270,0.020301066,-0.048425074372789825,0.0013055206200078828,-1.6386398177593946,0.24501953125,-0.08078208565711975,0.0003
100.0,475,29,124,59392,0.0742,0.2,0.02141106128692627,280,0.02027819,-0.042823195061646405,0.0010729940530382009,-1.6293987106531858,0.218212890625,-0.08852764964103699,0.0003
100.0,450,30,136,61440,0.05518,0.2,-0.26472270488739014,290,0.018801363,-0.04069914338033413,0.0012856362955972144,-1.6440016016364098,0.212109375,-0.09701824188232422,0.0003
100.0,452,31,140,63488,0.03896,0.2,-0.16044938564300537,300,0.020511428,-0.0436866624862887,0.0005050090992654077,-1.6487790696322917,0.219091796875,-0.08376036584377289,0.0003
100.0,452,32,144,65536,0.03166,0.2,0.22434794902801514,310,0.017907776,-0.04018174323136918,0.0005342855979279193,-1.5934659156948328,0.19736328125,-0.0741993859410286,0.0003
100.0,453,33,149,67584,0.03121,0.2,-6.202988147735596,320,0.019792639,-0.04642418091971194,9.616054897492177e-05,-1.6266126096248628,0.227783203125,-0.10975636541843414,0.0003
100.0,454,34,153,69632,0.01948,0.2,0.1574499011039734,330,0.017291274,-0.036197999044088644,0.0009765054778995364,-1.6117995891720056,0.199609375,-0.06097588315606117,0.0003
100.0,452,35,158,71680,0.029389999999999996,0.2,-9.867814064025879,340,0.018760066,-0.048591486523218916,0.00015568509544436893,-1.5843049943447114,0.2357421875,-0.11775312572717667,0.0003
100.0,451,36,163,73728,0.039299999999999995,0.2,0.21046292781829834,350,0.017807882,-0.02697766328928992,0.0013304565419957725,-1.5788327667862176,0.181005859375,-0.05504628270864487,0.0003
100.0,451,37,167,75776,0.04282,0.2,-0.006617188453674316,360,0.017526846,-0.031171904623624867,0.0016609385114861653,-1.5755467128008604,0.17802734375,-0.029089953750371933,0.0003
100.0,452,38,171,77824,0.03245,0.2,-0.747681736946106,370,0.018368112,-0.03835839069506619,0.000797832185662628,-1.6065053094178439,0.197509765625,-0.08480149507522583,0.0003
100.0,453,39,175,79872,0.051109999999999996,0.2,-5.971421718597412,380,0.020751743,-0.053450155528844336,9.962750277168198e-05,-1.6005435820668936,0.2658203125,-0.11059854179620743,0.0003
100.0,454,40,180,81920,0.02849,0.2,0.11606913805007935,390,0.021398995,-0.029603796039009467,0.0008983261436867451,-1.5800697516649962,0.228662109375,-0.06128427013754845,0.0003
100.0,455,41,184,83968,0.036520000000000004,0.2,-0.2262120246887207,400,0.019639987,-0.03617237982107326,0.0014354100685295633,-1.5830277159810067,0.221142578125,-0.09260249137878418,0.0003
100.0,456,42,188,86016,0.07093999999999999,0.2,-0.10667181015014648,410,0.020339783,-0.03354233322315849,0.0012550620625461305,-1.5487642757594586,0.21845703125,-0.0730440765619278,0.0003
100.0,457,43,192,88064,0.08381999999999999,0.2,0.28454524278640747,420,0.017404795,-0.02766538504511118,0.0029573479179134665,-1.5577207699418067,0.190234375,-0.020826494321227074,0.0003
100.0,457,44,196,90112,0.10095000000000001,0.2,0.16735875606536865,430,0.019171266,-0.04135832009342266,0.004309993306469551,-1.5430191855877637,0.211474609375,-0.04694634675979614,0.0003
100.0,458,45,201,92160,0.10247999999999999,0.2,-0.20219922065734863,440,0.018949613,-0.03828040790540399,0.002608356449036364,-1.5467204853892327,0.20107421875,-0.06744282692670822,0.0003
100.0,459,46,205,94208,0.09716,0.2,0.022433698177337646,450,0.018032342,-0.037113699229666966,0.002398064836302183,-1.5019032780081034,0.209033203125,-0.04359033703804016,0.0003
100.0,460,47,209,96256,0.09292,0.2,-2.667609691619873,460,0.021016276,-0.04108907625486609,0.0007506011334498907,-1.5152196682989598,0.221923828125,-0.08180531114339828,0.0003
100.0,460,48,213,98304,0.08282,0.2,0.1379786729812622,470,0.023329366,-0.03243275844142772,0.004789997916850553,-1.5244423355907202,0.240625,-0.07308197766542435,0.0003
100.0,461,49,217,100352,0.07742,0.2,0.24309009313583374,480,0.020925997,-0.04079678853740916,0.0025529172580718296,-1.5168470103293656,0.228759765625,-0.07183966040611267,0.0003
100.0,461,50,221,102400,0.07762000000000001,0.2,0.21721774339675903,490,0.024984676,-0.03667313241166994,0.0016771538362263527,-1.4672842986881733,0.261328125,-0.08064606040716171,0.0003
100.0,462,51,225,104448,0.08356,0.2,-0.6307421922683716,500,0.022834849,-0.040846764104207976,0.0016885176489267906,-1.5078596837818623,0.22734375,-0.09240778535604477,0.0003
100.0,462,52,230,106496,0.09358000000000001,0.2,0.3305397033691406,510,0.021387566,-0.03552357919397764,0.0021498995620731877,-1.516820391640067,0.2224609375,-0.053873155266046524,0.0003
100.0,463,53,234,108544,0.1007,0.2,0.2981823682785034,520,0.025581181,-0.034298972410033456,0.004114748799202062,-1.4555138170719146,0.24384765625,-0.06244602054357529,0.0003
100.0,463,54,238,110592,0.11440000000000002,0.2,0.48671311140060425,530,0.02099782,-0.034139443369349466,0.0033781278284550353,-1.507707615569234,0.22724609375,-0.06415478885173798,0.0003
100.0,464,55,242,112640,0.13376,0.2,0.2673477530479431,540,0.026313305,-0.03682881516579073,0.005392991649023316,-1.4635454934090375,0.2552734375,-0.018026184290647507,0.0003
100.0,464,56,246,114688,0.13241,0.2,0.025425195693969727,550,0.021308498,-0.04317455182899721,0.002919785761332605,-1.4880859233438968,0.222607421875,-0.09385985881090164,0.0003
100.0,465,57,250,116736,0.12960999999999998,0.2,-0.11425483226776123,560,0.024498682,-0.04311527922109235,0.002971265728047001,-1.4401459950953721,0.263134765625,-0.08325230330228806,0.0003
100.0,465,58,255,118784,0.12365999999999999,0.2,0.12007743120193481,570,0.020521615,-0.03616373808472417,0.004935573571310669,-1.4619129065424203,0.210205078125,-0.06691239774227142,0.0003
100.0,466,59,259,120832,0.11465,0.2,0.45124340057373047,580,0.023818623,-0.03804727416136302,0.0023102242676941386,-1.4686933487653733,0.225634765625,-0.07927623391151428,0.0003
100.0,466,60,263,122880,0.10400999999999999,0.2,0.3857576847076416,590,0.02158836,-0.037118620649562215,0.0034884582441009116,-1.4488672126084565,0.216064453125,-0.08349239081144333,0.0003
100.0,466,61,267,124928,0.11481999999999999,0.2,-0.02151334285736084,600,0.022650978,-0.042953812635096254,0.0017815710070408386,-1.4161742001771926,0.226318359375,-0.08762424439191818,0.0003
100.0,467,62,271,126976,0.08806000000000001,0.2,0.13270676136016846,610,0.01969222,-0.03220409141795244,0.0019214354035284487,-1.4079046864062548,0.20390625,-0.04977627098560333,0.0003
100.0,467,63,276,129024,0.09085000000000001,0.2,-0.3264191150665283,620,0.020408854,-0.038998631530557756,0.0012141004324348614,-1.3924745701253414,0.231396484375,-0.08524488657712936,0.0003
100.0,467,64,280,131072,0.10581000000000002,0.2,0.5743187367916107,630,0.025228992,-0.04795683126721997,0.0013757550991158496,-1.399266267567873,0.2654296875,-0.077336885035038,0.0003
100.0,467,65,284,133120,0.11069000000000001,0.2,0.35433316230773926,640,0.022235906,-0.030744988220976665,0.0033484143349596708,-1.3327292572706937,0.227392578125,-0.07093793153762817,0.0003
